treatment_a,treatment_b,cooccur_count,confidence_a_to_b,confidence_b_to_a,lift,pmi,jaccard,smoothed_confidence,confidence_gain,final_weight,pair_rule_level
35,117,33,0.0249056603773584,0.5238095238095238,29.774123989218328,3.3936396937915405,0.0243542435424354,0.024725366941989714,3.410573646001751,2.433032424599508,positive
37,96,36,0.03122289679098,0.3214285714285714,20.99600421261306,3.044332144028872,0.0292921074043938,0.03096721485439001,3.0660781456510207,2.274271088796746,positive
39,62,384,0.3552266419981498,1.0,69.67160037002775,4.243792779497707,0.3552266419981498,0.3520174022542535,4.663497188408332,4.1719694412408765,strict_positive
39,51,444,0.4107308048103608,0.7681660899653979,53.51936083787599,3.9800434732575543,0.3654320987654321,0.4070364292762941,4.485926417729347,4.048462863341721,strict_positive
39,110,82,0.0758556891766882,1.0,69.67160037002775,4.243792779497707,0.0758556891766882,0.07517038277304372,4.311773780524701,3.479275192674454,strict_positive
39,120,60,0.0555041628122109,1.0,69.67160037002775,4.243792779497707,0.0555041628122109,0.05500271910222711,4.290493635464367,3.311426898859987,strict_positive
39,133,39,0.036077705827937,1.0,69.67160037002775,4.243792779497707,0.036077705827937,0.03575176741644762,4.270605933752941,3.0492748488343744,strict_positive
39,148,20,0.0185013876040703,1.0,69.67160037002775,4.243792779497707,0.0185013876040703,0.01833423970074237,4.2529561864088965,2.5774314069582154,positive
39,154,16,0.0148011100832562,1.0,69.67160037002775,4.243792779497707,0.0148011100832562,0.014667391760593897,4.249280935985195,2.4076679732233557,positive
39,58,36,0.0333024976873265,0.0757894736842105,5.280373922781051,1.663996913919176,0.0236842105263157,0.0330550581538595,1.6838260196884653,1.443158939719172,positive
